고픈,,,,ETN,*,T,추가-고픈,*,*,*,*
냐는,,,,ETN,*,T,추가-냐는,*,*,*,*
냐라는,,,,ETN,*,T,추가-냐라는,*,*,*,*
노라는,,,,ETN,*,T,추가-노라는,*,*,*,*
느냐는,,,,ETN,*,T,추가-느냐는,*,*,*,*
느냐라는,,,,ETN,*,T,추가-느냐라는,*,*,*,*
는가는,,,,ETN,*,T,추가-는가는,*,*,*,*
는가라는,,,,ETN,*,T,추가-는가라는,*,*,*,*
는가란,,,,ETN,*,T,추가-는가란,*,*,*,*
는다기,,,,ETN,*,F,추가-는다기,*,*,*,*
는다는,,,,ETN,*,T,추가-는다는,*,*,*,*
는단,,,,ETN,*,T,추가-는단,*,*,*,*
다는,,,,ETN,*,T,추가-다는,*,*,*,*
다더라는,,,,ETN,*,T,추가-다더라는,*,*,*,*
다던,,,,ETN,*,T,추가-다던,*,*,*,*
다라는,,,,ETN,*,T,추가-다라는,*,*,*,*
다란,,,,ETN,*,T,추가-다란,*,*,*,*
더라는,,,,ETN,*,T,추가-더라는,*,*,*,*
더라던,,,,ETN,*,T,추가-더라던,*,*,*,*
더란,,,,ETN,*,T,추가-더란,*,*,*,*
라기,,,,ETN,*,F,추가-라기,*,*,*,*
라는,,,,ETN,*,T,추가-라는,*,*,*,*
라던,,,,ETN,*,T,추가-라던,*,*,*,*
랴는,,,,ETN,*,T,추가-랴는,*,*,*,*
려는,,,,ETN,*,T,추가-려는,*,*,*,*
려던,,,,ETN,*,T,추가-려던,*,*,*,*
련다는,,,,ETN,*,T,추가-련다는,*,*,*,*
리라는,,,,ETN,*,T,추가-리라는,*,*,*,*
리라던,,,,ETN,*,T,추가-리라던,*,*,*,*
리란,,,,ETN,*,T,추가-리란,*,*,*,*
마는,,,,ETN,*,T,추가-마는,*,*,*,*
마던,,,,ETN,*,T,추가-마던,*,*,*,*
아서라기,,,,ETN,*,F,추가-아서라기,*,*,*,*
아서라는,,,,ETN,*,T,추가-아서라는,*,*,*,*
야라는,,,,ETN,*,T,추가-야라는,*,*,*,*
어서라기,,,,ETN,*,F,추가-어서라기,*,*,*,*
어요라는,,,,ETN,*,T,추가-어요라는,*,*,*,*
으냐는,,,,ETN,*,T,추가-으냐는,*,*,*,*
으라는,,,,ETN,*,T,추가-으라는,*,*,*,*
으란,,,,ETN,*,T,추가-으란,*,*,*,*
으려는,,,,ETN,*,T,추가-으려는,*,*,*,*
으려던,,,,ETN,*,T,추가-으려던,*,*,*,*
으리라는,,,,ETN,*,T,추가-으리라는,*,*,*,*
으리란,,,,ETN,*,T,추가-으리란,*,*,*,*
을까라는,,,,ETN,*,T,추가-을까라는,*,*,*,*
을까란,,,,ETN,*,T,추가-을까란,*,*,*,*
읍니까마는,,,,ETN,*,T,추가-읍니까마는,*,*,*,*
이라는,,,,ETN,*,T,추가-이라는,*,*,*,*
자는,,,,ETN,*,T,추가-자는,*,*,*,*
자던,,,,ETN,*,T,추가-자던,*,*,*,*
자라는,,,,ETN,*,T,추가-자라는,*,*,*,*
